No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
5,10,6,7,6.014758966,0.514825018,0.166620143,26.42544019,-7.328630693,1.388926569,-15.47429311,0.295849646,0.261261419,72.10387372,3,0
5,10,6,8,6.040506043,0.55001232,0.065255082,10.8305697,-6.778999524,0.720540772,-9.702917391,0.467117502,0.133359931,26.06205143,6,0
5,10,6,9,6.07734445,0.584392168,0.034966115,4.885368905,-6.823703001,0.801383651,-9.58903122,0.329378482,0.184878138,45.82945641,3,0
5,10,6,10,6.042616142,0.589191102,0.046641843,7.080509639,-6.37652746,0.937833107,-13.15486268,0.452174092,0.249277959,49.30865989,5,0
5,10,6,11,6.016748027,0.63068355,0.012207103,1.368630197,-5.904958319,0.669430752,-8.016297473,0.373652994,0.23339312,44.1676797,2,0
5,10,6,12,6.054544808,0.593411873,0.019008069,2.774037991,-6.610726906,0.375584556,-4.920272331,0.307590649,0.202358012,56.97415692,4,0
5,10,6,13,6.085336388,0.570268227,0.057759292,8.771488944,-6.47652975,0.530310275,-7.09117672,0.3892014,0.204892842,45.59141001,4,0
5,10,6,14,6.149821608,0.587662438,0.017868355,2.775658365,-6.104485851,0.678872896,-10.1519333,0.531433796,0.182119776,31.28364259,6,0
5,10,6,15,6.104734106,0.617389443,0.024198085,3.505635758,-5.749883446,0.818505257,-12.73231649,0.471270534,0.205165924,38.93856451,5,0
5,10,6,17,6.067570955,0.745763952,0.329157638,38.22374038,-4.568874296,4.598419083,-87.16255877,2.823911798,5.091857944,156.1549598,4,0
5,10,6,18,6.035846304,0.585135902,0.040840354,6.242775928,-6.569219614,0.535585078,-7.292218633,0.39143225,0.20685076,47.26563651,5,0
5,10,6,19,6.055042605,0.614030184,0.037615515,5.305275292,-5.448951386,1.497658186,-23.8029291,0.669331316,0.419962529,54.33754707,4,0
5,10,6,20,6.169876052,0.585358557,0.039624972,5.86242938,-6.387750325,0.506262544,-6.863703206,0.431050585,0.115459686,23.19705034,4,0
5,10,6,21,6.223791176,0.588829717,0.015803029,2.484718638,-6.588025092,0.383335541,-5.387043069,0.305214977,0.125530199,38.07754847,7,0
5,10,6,22,5.900831194,0.520091373,,0,-7.610684911,,0,0.366699663,,0,1,0
5,10,6,23,6.294096849,0.580083458,0.090852751,11.0747161,-5.901098151,0.454102684,-5.441344625,0.564167115,0.202788083,25.4167294,2,0
5,10,6,24,6.181891215,0.598019411,0.02077285,3.008232683,-6.22794331,0.322846241,-4.48933191,0.482321264,0.094777184,17.01758872,4,0
5,10,6,25,6.178570521,0.591243682,0.020772026,3.252662124,-6.650097473,0.298922924,-4.161575865,0.269972379,0.098607535,33.81562153,7,0
5,10,6,26,5.956838204,0.584888442,0.036857956,5.834247012,-6.838281862,0.431717098,-5.844923843,0.250759039,0.116002736,42.82903016,7,0
5,10,6,27,6.118924207,0.594125168,0.029165553,4.390735384,-6.795035158,0.222479463,-2.928486411,0.197244371,0.123174236,55.85476816,5,0
5,10,6,28,6.0130955,0.588847471,0.035385225,5.563469991,-6.282805789,0.735608313,-10.8397583,0.410043037,0.19147905,43.23330423,7,0
