cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
0,1,27,0,0,350.5149918962723,5.859403478445139,0,0.8418774516401574,0.05470558138591931,5.305632081278086,0.4309570946090881,0.36686119643553244,69.50597085224325,3
0,1,28,0,0,378.7527170267007,5.936883530465705,0,0.7964419975361171,0.004802721773364231,0.49236553562347923,0.12896832584717552,0.026579942808720718,16.827722839708596,3
0,1,29,0,0,413.4370013297872,6.024505148152326,0,0.8393679209592424,0.057759300785382876,5.959367821420101,0.33140321097713654,0.3516998656900647,91.90647770041798,4
0,1,30,0,0,361.8752927611429,5.891299657338727,0,0.7763536574260325,0.00502358456406637,0.5990743416782184,0.07947523887751921,0.015906160104037018,18.529346929315455,7
0,1,31,0,0,368.3086729766274,5.908921371847735,0,0.7805869833767091,0.02337541698470274,2.593395145437271,0.12008855121607018,0.10998525949315567,79.31649420228005,4
0,1,32,0,0,373.9541030632107,5.924133070801605,0,0.7593739939914282,0.028859436565586975,3.2912643048697796,0.08947607914340636,0.053994187940890434,52.260155855262845,4
0,1,33,0,0,355.04471730439747,5.872243745780327,0,0.8525023634982148,0.0717192136314214,6.869012359870524,0.480233601801344,0.452312991205183,76.90257604693727,3
0,1,34,0,0,423.00356137154216,6.047380598328902,0,0.8978791558067749,0.06775155954331638,6.5347960614816705,0.831129668753416,0.5044677895270632,52.564832846923025,4
0,1,35,0,0,416.17661842447353,6.031109733680043,0,0.8171464078790933,0.048997189449786864,5.192803929431549,0.26988031164348536,0.29269224124910426,93.92271517278226,4
0,1,36,0,0,352.6707541775208,5.865534913978395,0,0.7915679056276835,0.05121528819486704,5.906372326370983,0.19244456101511517,0.2839794374686903,134.7071445310187,6
0,1,37,0,0,452.2608729908604,6.1142591659783525,0,0.7974462688061039,0.0181933578866906,1.9757958280505843,0.09209154609924945,0.01859116576485712,17.483061714461797,4
0,2,1,0,0,328.3498475609756,5.794079648379148,0,0.7948056832961953,,0.0,0.3028716880250943,,0.0,1
0,2,2,0,0,312.1701804944638,5.7435484894083055,0,0.823245693084459,0.025262885472313916,2.1698938457707326,0.44090565423688943,0.16798365493931305,26.940543945093076,2
0,2,3,0,0,356.0532389341064,5.875080267238622,0,0.8662362650040859,0.02657966717370674,2.5053450480309913,0.6528958805084434,0.18869448894001767,23.597699060292452,3
0,2,5,0,0,327.34911984304324,5.791027246149847,0,0.7881012812121903,0.03121067341961679,2.800309978745965,0.2595262909285371,0.16085032596869286,43.82536961538446,2
0,2,6,0,0,383.4240778456664,5.94914162948907,0,0.8134005996593214,0.040488229790380886,4.064233688235301,0.36245382331198867,0.2632631565982034,59.30506272012711,3
0,2,7,0,0,334.35151129494113,5.812192868588295,0,0.845436531666398,0.01862218681440303,1.7984734860448646,0.5924877647062582,0.12953289808412102,17.850692403037108,3
0,2,8,0,0,434.6661964735516,6.074578372085277,0,0.8028220334712856,0.021368467780178115,2.380669415605981,0.2879141896332696,0.1478853647453342,45.941706293687524,5
0,2,10,0,0,340.9678679090161,5.831788243837868,0,0.8169124013616823,0.012209319601393495,1.3367831626612419,0.39367052155765786,0.0913958904566087,20.765326610330842,5
0,2,11,0,0,349.818887624657,5.857415556623244,0,0.8091572126276526,0.013690887344041633,1.3815068977727414,0.3343819566536288,0.08311976853835235,20.29625267411454,3
0,2,12,0,0,349.89240254574383,5.85762568592197,0,0.8393700006285655,0.03420303069541779,2.881350885038824,0.522471551351444,0.17745524338334853,24.016581501692162,2
0,2,13,0,0,410.1044020914151,6.016411766530637,0,0.8073355681079541,0.026406988860662728,2.8326663774249363,0.3195076324173765,0.17895369617537837,48.50539745058411,4
0,2,14,0,0,354.80922950144213,5.87158026334805,0,0.8220257952835742,0.015739387751781887,1.5633519481943234,0.2703945457901925,0.1643032789517256,49.61382083623531,3
